LCLid,stdorToU,datetime,KWH/hh
MAC000002,Std,2013-04-18 02:30:00,0.179
MAC000002,Std,2013-04-30 03:30:00,0.085
MAC000002,Std,2013-07-03 04:30:00,0.103
MAC000002,Std,2013-07-04 12:00:00,0.266
MAC000002,Std,2013-08-09 12:00:00,0.147
MAC000003,Std,2012-04-12 17:00:00,0.141
MAC000003,Std,2012-05-08 10:00:00,0.145
MAC000003,Std,2012-05-18 09:00:00,0.21
MAC000003,Std,2012-06-26 15:00:00,0.086
MAC000003,Std,2012-10-13 21:00:00,0.201
MAC000003,Std,2012-11-14 23:00:00,0.206
MAC000003,Std,2013-02-01 13:00:00,0.285
MAC000003,Std,2013-02-25 19:30:00,0.256
MAC000003,Std,2013-07-11 04:30:00,0.096
MAC000003,Std,2013-08-05 08:00:00,0.141
MAC000003,Std,2013-08-27 05:30:00,0.307
MAC000003,Std,2013-08-30 15:30:00,0.095
MAC000003,Std,2013-09-06 19:30:00,0.132
MAC000003,Std,2013-10-24 02:30:00,0.039
MAC000003,Std,2013-10-28 20:30:00,0.15
MAC000003,Std,2013-11-06 17:00:00,0.217
MAC000003,Std,2013-12-03 19:30:00,0.286
MAC000004,Std,2012-06-05 17:00:00,0.0
MAC000004,Std,2012-06-30 11:00:00,0.0
MAC000004,Std,2012-09-08 01:30:00,0.175
MAC000004,Std,2013-01-14 04:00:00,0.0
MAC000004,Std,2013-02-12 00:30:00,0.0
MAC000004,Std,2013-07-25 22:00:00,0.0
MAC000004,Std,2013-07-28 11:30:00,0.0
MAC000004,Std,2013-08-05 06:00:00,0.0
MAC000004,Std,2013-08-12 12:30:00,0.0
MAC000004,Std,2013-09-13 01:00:00,0.0
MAC000004,Std,2014-02-22 16:30:00,0.158
MAC000004,Std,2014-02-25 18:30:00,0.0
MAC000006,Std,2012-04-14 21:00:00,0.037
MAC000006,Std,2012-06-01 01:00:00,0.056
MAC000006,Std,2012-06-05 11:00:00,0.031
MAC000006,Std,2012-07-13 03:30:00,0.034
MAC000006,Std,2012-10-22 21:00:00,0.036
MAC000006,Std,2012-11-26 01:30:00,0.014
MAC000006,Std,2012-12-09 08:00:00,0.084
MAC000006,Std,2012-12-27 04:00:00,0.0
MAC000006,Std,2013-01-24 12:30:00,0.073
MAC000006,Std,2013-01-27 00:00:00,0.043
MAC000006,Std,2013-06-30 01:00:00,0.053
MAC000006,Std,2013-07-28 10:00:00,0.019
MAC000006,Std,2013-08-06 09:00:00,0.092
MAC000006,Std,2013-08-10 21:30:00,0.063
MAC000006,Std,2013-08-23 01:00:00,0.001
MAC000006,Std,2013-10-18 01:30:00,0.026
MAC000007,Std,2013-06-25 13:30:00,0.093
MAC000007,Std,2013-08-03 21:00:00,0.322
MAC000007,Std,2013-08-08 21:00:00,0.362
MAC000007,Std,2013-09-12 04:30:00,0.111
MAC000007,Std,2013-09-25 15:30:00,0.049
MAC000007,Std,2013-10-09 20:30:00,0.155
MAC000007,Std,2013-11-21 22:00:00,0.212
MAC000008,Std,2012-07-16 15:00:00,0.179
MAC000008,Std,2012-08-01 17:30:00,0.279
MAC000008,Std,2012-10-07 23:00:00,0.278
MAC000008,Std,2012-10-09 22:30:00,0.306
MAC000008,Std,2013-01-05 23:30:00,0.347
MAC000008,Std,2013-05-19 02:00:00,0.238
MAC000008,Std,2013-07-08 12:30:00,0.431
MAC000008,Std,2013-09-01 17:00:00,0.59
MAC000009,Std,2013-01-07 10:00:00,0.649
MAC000009,Std,2013-01-19 19:00:00,0.262
MAC000009,Std,2013-07-02 04:30:00,0.072
MAC000009,Std,2013-08-01 06:30:00,0.071
MAC000009,Std,2013-09-17 04:30:00,0.041
MAC000009,Std,2013-10-31 04:30:00,0.066
MAC000009,Std,2014-01-03 08:30:00,0.327
MAC000010,Std,2012-11-13 09:30:00,0.561
MAC000010,Std,2012-12-10 06:30:00,0.453
MAC000010,Std,2012-12-27 15:30:00,2.023
MAC000010,Std,2013-04-17 17:00:00,0.604
MAC000010,Std,2013-04-30 20:30:00,1.469
MAC000010,Std,2013-10-06 13:30:00,1.332
MAC000010,Std,2014-01-30 16:30:00,0.467
MAC000011,Std,2013-02-23 04:00:00,0.09
MAC000011,Std,2013-04-27 10:30:00,0.325
MAC000011,Std,2013-04-27 20:00:00,0.381
MAC000011,Std,2013-06-13 07:30:00,0.136
MAC000011,Std,2013-08-22 05:00:00,0.129
MAC000011,Std,2013-12-18 08:30:00,0.348
MAC000011,Std,2014-02-07 01:00:00,0.135
MAC000012,Std,2013-04-14 15:00:00,0.062
MAC000012,Std,2013-07-24 13:30:00,0.05
MAC000012,Std,2013-11-10 05:30:00,0.011
MAC000012,Std,2014-02-15 04:00:00,0.0
MAC000013,Std,2012-06-29 14:00:00,0.195
MAC000013,Std,2012-11-04 03:00:00,0.113
MAC000013,Std,2012-12-09 12:30:00,0.032
MAC000013,Std,2013-01-16 14:00:00,0.117
MAC000013,Std,2013-05-05 03:30:00,0.106
MAC000013,Std,2013-06-08 07:30:00,0.063
MAC000013,Std,2013-06-22 14:00:00,0.046
MAC000013,Std,2013-09-09 15:30:00,0.126
MAC000013,Std,2013-09-29 18:30:00,0.1
MAC000016,Std,2012-01-10 17:00:00,0.183
MAC000016,Std,2012-02-06 18:00:00,0.056
MAC000016,Std,2012-02-09 16:00:00,0.051
MAC000016,Std,2012-02-28 08:30:00,0.014
MAC000016,Std,2012-07-09 00:00:00,0.01
MAC000016,Std,2012-08-20 09:30:00,0.001
MAC000016,Std,2012-08-31 11:00:00,0.0
MAC000016,Std,2012-10-01 13:00:00,0.0
MAC000016,Std,2012-10-11 08:30:00,0.0
